rank_300R,vectorizer_id,vectorizer_name,vectorizer_family,vectorizer_complexity,classifier_id,classifier_name,classifier_family,classifier_complexity,pipeline_id,status,accuracy,macro_f1,weighted_f1,precision_macro,recall_macro,train_time_sec,prediction_time_sec,model_size_kb,performance_score,efficiency_score,suitability_score,final_score,error
17,count_binary,Binary CountVectorizer,count_binary,low,bernoulli_nb,Bernoulli Naive Bayes,naive_bayes,low,count_binary__bernoulli_nb,completed,0.6526315789473685,0.42311111111111116,0.6183298245614035,0.44484702093397743,0.4334523202447731,0.021105289459228516,0.005913972854614258,169.1923828125,50.977403508771935,96.13468223571778,100,72.26450837696812,
18,tfidf_word,TF-IDF Word,tfidf,low,bernoulli_nb,Bernoulli Naive Bayes,naive_bayes,low,tfidf_word__bernoulli_nb,completed,0.6526315789473685,0.42311111111111116,0.6183298245614035,0.44484702093397743,0.4334523202447731,0.013593196868896484,0.003914833068847656,186.7900390625,50.977403508771935,95.94775005340577,100,72.22712194050573,
19,count_bigram,CountVectorizer 1-2 grams,count_ngram,low,linear_svc,LinearSVC,margin_based,medium,count_bigram__linear_svc,completed,0.6736842105263158,0.45840299339224577,0.6563624250499667,0.4453429170410302,0.47322794492605813,0.0312962532043457,0.0049037933349609375,217.69921875,54.19172124244214,95.16401050567627,85,71.58824878447844,
20,hashing_word,HashingVectorizer Word,hashing,medium,logreg_balanced,Logistic Regression Balanced,linear,low,hashing_word__logreg_balanced,completed,0.631578947368421,0.4521404521404522,0.6473760157970684,0.46195652173913043,0.44535101138874716,0.03795456886291504,0.004998207092285156,49.5009765625,52.62854104959368,98.4823606300354,85,71.3921697032836,
21,hashing_word,HashingVectorizer Word,hashing,medium,ridge_classifier,Ridge Classifier,linear,low,hashing_word__ridge_classifier,completed,0.6526315789473685,0.44080808080808076,0.6344752791068581,0.4298245614035088,0.45249022607513173,0.015204191207885742,0.0030002593994140625,49.4306640625,52.28140350877193,98.74014600753785,85,71.25280113133213,
22,hashing_word,HashingVectorizer Word,hashing,medium,complement_nb,Complement Naive Bayes,naive_bayes,low,hashing_word__complement_nb,completed,0.6526315789473685,0.4390084801043705,0.6332475023174374,0.42969240426867544,0.44977052524222333,0.008525609970092773,0.0029137134552001953,113.3994140625,52.155010814708,97.50603525161743,85,70.93646299841289,
23,hashing_char,HashingVectorizer Character,char_hashing,medium,logreg_balanced,Logistic Regression Balanced,linear,low,hashing_char__logreg_balanced,completed,0.6631578947368421,0.45190947666195197,0.6480830789845903,0.44148936170212766,0.46965833758286585,0.3735311031341553,0.04257059097290039,97.4697265625,53.414762152907024,93.25518339157105,85,70.77915586241308,
24,hashing_char,HashingVectorizer Character,char_hashing,medium,ridge_classifier,Ridge Classifier,linear,low,hashing_char__ridge_classifier,completed,0.6526315789473685,0.4384384384384384,0.63366524419156,0.42808325566946265,0.44977052524222333,0.08478045463562012,0.022650957107543945,97.4150390625,52.127074442863915,96.18395906448364,85,70.65668275647188,
25,hashing_word,HashingVectorizer Word,hashing,medium,linear_svc,LinearSVC,margin_based,medium,hashing_word__linear_svc,completed,0.6842105263157895,0.46521287642782966,0.6663387440564027,0.45212285456187895,0.47951725310215876,0.01739192008972168,0.004908561706542969,49.3564453125,55.01311690441055,98.61400587081908,70,70.48001547158962,
26,hashing_word,HashingVectorizer Word,hashing,medium,bernoulli_nb,Bernoulli Naive Bayes,naive_bayes,low,hashing_word__bernoulli_nb,completed,0.6421052631578947,0.42559074912016087,0.6181868698896563,0.4230510752688172,0.43532211456739756,0.008492231369018555,0.003260374069213867,97.3525390625,50.860879574501865,97.80637338638306,85,70.28475844325264,
