rank,vectorizer_id,vectorizer_name,vectorizer_family,vectorizer_complexity,classifier_id,classifier_name,classifier_family,classifier_complexity,pipeline_id,status,accuracy,macro_f1,weighted_f1,precision_macro,recall_macro,train_time_sec,prediction_time_sec,model_size_kb,performance_score,efficiency_score,suitability_score,final_score,error
24,tfidf_word,TF-IDF Word,tfidf,low,ridge_classifier,Ridge Classifier,linear,low,tfidf_word__ridge_classifier,completed,0.55,0.5710041592394534,0.5540998217468805,0.6,0.5634920634920635,0.015063285827636719,0.0020599365234375,18.9775390625,56.32174688057041,99.40647331237793,100,75.85825544678931,
25,hashing_word,HashingVectorizer Word,hashing,medium,logreg_balanced,Logistic Regression Balanced,linear,low,hashing_word__logreg_balanced,completed,0.6,0.611111111111111,0.5916666666666666,0.6148148148148148,0.619047619047619,0.014173030853271484,0.0016489028930664062,49.5009765625,60.541666666666664,98.82600811004639,85,75.81311828867595,
26,count_bigram,CountVectorizer 1-2 grams,count_ngram,low,bernoulli_nb,Bernoulli Naive Bayes,naive_bayes,low,count_bigram__bernoulli_nb,completed,0.6,0.547979797979798,0.5390151515151514,0.7666666666666666,0.6031746031746031,0.004880428314208984,0.0016527175903320312,63.1923828125,55.964015151515156,98.60770671844483,100,75.5017496770223,
27,hashing_char,HashingVectorizer Character,char_hashing,medium,ridge_classifier,Ridge Classifier,linear,low,hashing_char__ridge_classifier,completed,0.65,0.5907407407407407,0.5802777777777778,0.611111111111111,0.6666666666666666,0.018964767456054688,0.004973411560058594,97.4150390625,60.39861111111111,97.63950592041016,85,75.49713729519314,
28,tfidf_char,Character TF-IDF,char_tfidf,medium,random_forest_small,Small Random Forest,tree_based,high,tfidf_char__random_forest_small,completed,0.7,0.7083333333333334,0.69375,0.7185185185185184,0.7142857142857143,0.11513686180114746,0.011405229568481445,305.2001953125,70.40625,92.52086114883423,55,75.47760972976685,
29,tfidf_bigram,TF-IDF 1-2 grams,tfidf_ngram,low,bernoulli_nb,Bernoulli Naive Bayes,naive_bayes,low,tfidf_bigram__bernoulli_nb,completed,0.6,0.547979797979798,0.5390151515151514,0.7666666666666666,0.6031746031746031,0.005841970443725586,0.0017693042755126953,69.4775390625,55.964015151515156,98.46923913955689,100,75.47405616124472,
30,count_word,CountVectorizer Word,count,low,sgd_hinge,SGDClassifier Hinge Loss,sgd,medium,count_word__sgd_hinge,completed,0.6,0.5965811965811966,0.5802564102564103,0.5857142857142857,0.619047619047619,0.006593465805053711,0.0010883808135986328,16.849609375,59.49871794871795,99.55814416885377,85,75.38592370556563,
31,count_binary,Binary CountVectorizer,count_binary,low,sgd_log,SGDClassifier Logistic Loss,sgd,medium,count_binary__sgd_log,completed,0.6,0.5965811965811966,0.5802564102564103,0.5857142857142857,0.619047619047619,0.007692575454711914,0.0013301372528076172,16.828125,59.49871794871795,99.53747381210327,85,75.38178963421552,
32,count_bigram,CountVectorizer 1-2 grams,count_ngram,low,random_forest_small,Small Random Forest,tree_based,high,count_bigram__random_forest_small,completed,0.65,0.6464646464646465,0.6333333333333333,0.6818181818181818,0.6587301587301587,0.08799886703491211,0.004733085632324219,164.1396484375,64.53787878787878,95.90522869110109,70,75.17687907155354,
33,count_bigram,CountVectorizer 1-2 grams,count_ngram,low,sgd_log,SGDClassifier Logistic Loss,sgd,medium,count_bigram__sgd_log,completed,0.6,0.5783549783549783,0.5672727272727273,0.5793650793650793,0.619047619047619,0.007180213928222656,0.0011126995086669922,44.828125,58.210389610389605,98.99359424591066,85,74.56443313489642,
