rank,vectorizer_id,vectorizer_name,vectorizer_family,vectorizer_complexity,classifier_id,classifier_name,classifier_family,classifier_complexity,pipeline_id,status,accuracy,macro_f1,weighted_f1,precision_macro,recall_macro,train_time_sec,prediction_time_sec,model_size_kb,performance_score,efficiency_score,suitability_score,final_score,error
20,count_word,CountVectorizer Word,count,low,multinomial_nb,Multinomial Naive Bayes,naive_bayes,low,count_word__multinomial_nb,completed,0.6,0.5704374057315235,0.5528054298642534,0.5634920634920635,0.6190476190476191,0.00405573844909668,0.0007796287536621094,23.4580078125,57.51832579185521,99.4597276878357,100,76.52702472308751,
21,count_binary,Binary CountVectorizer,count_binary,low,passive_aggressive,Passive Aggressive Classifier,online_margin,medium,count_binary__passive_aggressive,completed,0.65,0.6039886039886039,0.5880341880341879,0.6341991341991342,0.6666666666666666,0.005250453948974609,0.0008070468902587891,16.849609375,61.30982905982905,99.58308227539064,85,76.38702243798411,
22,count_binary,Binary CountVectorizer,count_binary,low,random_forest_small,Small Random Forest,tree_based,high,count_binary__random_forest_small,completed,0.7,0.65,0.6325,0.8461538461538461,0.7142857142857143,0.07967090606689453,0.004678249359130859,160.7646484375,65.9875,96.02598663330079,70,75.99832232666016,
23,count_word,CountVectorizer Word,count,low,linear_svc,LinearSVC,margin_based,medium,count_word__linear_svc,completed,0.6,0.6094276094276094,0.5944444444444444,0.6515151515151515,0.6111111111111112,0.005361795425415039,0.0011365413665771484,16.51171875,60.48232323232323,99.56940237045288,85,75.92915825186836,
24,tfidf_word,TF-IDF Word,tfidf,low,ridge_classifier,Ridge Classifier,linear,low,tfidf_word__ridge_classifier,completed,0.55,0.5710041592394534,0.5540998217468805,0.6,0.5634920634920635,0.010427474975585938,0.0017375946044921875,18.9775390625,56.32174688057041,99.45362869262695,100,75.86768652283912,
25,hashing_word,HashingVectorizer Word,hashing,medium,logreg_balanced,Logistic Regression Balanced,linear,low,hashing_word__logreg_balanced,completed,0.6,0.611111111111111,0.5916666666666666,0.6148148148148148,0.619047619047619,0.013400554656982422,0.0014729499816894531,49.5009765625,60.541666666666664,98.84120014190674,85,75.81615669504802,
26,count_bigram,CountVectorizer 1-2 grams,count_ngram,low,bernoulli_nb,Bernoulli Naive Bayes,naive_bayes,low,count_bigram__bernoulli_nb,completed,0.6,0.547979797979798,0.5390151515151514,0.7666666666666666,0.6031746031746031,0.0047380924224853516,0.0012717247009277344,63.1923828125,55.964015151515156,98.63142030715943,100,75.50649239476522,
27,hashing_char,HashingVectorizer Character,char_hashing,medium,ridge_classifier,Ridge Classifier,linear,low,hashing_char__ridge_classifier,completed,0.65,0.5907407407407407,0.5802777777777778,0.611111111111111,0.6666666666666666,0.0187985897064209,0.004539966583251953,97.4150390625,60.39861111111111,97.66650968551636,85,75.50253804821439,
28,tfidf_bigram,TF-IDF 1-2 grams,tfidf_ngram,low,bernoulli_nb,Bernoulli Naive Bayes,naive_bayes,low,tfidf_bigram__bernoulli_nb,completed,0.6,0.547979797979798,0.5390151515151514,0.7666666666666666,0.6031746031746031,0.005797624588012695,0.0015752315521240234,69.4775390625,55.964015151515156,98.48114957809449,100,75.47643824895223,
29,tfidf_char,Character TF-IDF,char_tfidf,medium,random_forest_small,Small Random Forest,tree_based,high,tfidf_char__random_forest_small,completed,0.7,0.7083333333333334,0.69375,0.7185185185185184,0.7142857142857143,0.17742180824279785,0.01082468032836914,305.2001953125,70.40625,92.18198442459106,55,75.40983438491821,
